URL                                                                 | Module                                             | Name                                                | Decorator
/perfil-de-usuario/actualizar/<int:pk>                              | igs_app_base.views.Update                          | group_update                                        | 
/perfil-de-usuario/eliminar/<int:pk>                                | igs_app_base.views.Delete                          | group_delete                                        | 
/perfil-de-usuario/eliminar/multiple/                               | igs_app_base.views.DeleteMany                      | group_delete_many                                   | 
/perfil-de-usuario/nuevo/                                           | igs_app_base.views.Create                          | group_create                                        | 
/permiso-de-usuario/                                                | igs_app_base.views.List                            | permission_list                                     | 
/permiso-de-usuario/<int:pk>                                        | igs_app_base.views.Read                            | permission_read                                     | 
/permiso-de-usuario/actualizar/<int:pk>                             | igs_app_base.views.Update                          | permission_update                                   | 
/permiso-de-usuario/eliminar/<int:pk>                               | igs_app_base.views.Delete                          | permission_delete                                   | 
/permiso-de-usuario/eliminar/multiple/                              | igs_app_base.views.DeleteMany                      | permission_delete_many                              | 
/permiso-de-usuario/nuevo/                                          | igs_app_base.views.Create                          | permission_create                                   | 
/personalizacion-de-producto/                                       | igs_app_base.views.List                            | personalizacion_list                                | 
/personalizacion-de-producto/<int:pk>                               | personalizacion_producto.personalizacion.vw.Read   | personalizacion_read                                | 
/personalizacion-de-producto/actualizar/<int:pk>                    | igs_app_base.views.Update                          | personalizacion_update                              | 
/personalizacion-de-producto/eliminar/<int:pk>                      | igs_app_base.views.Delete                          | personalizacion_delete                              | 
/personalizacion-de-producto/eliminar/multiple/                     | igs_app_base.views.DeleteMany                      | personalizacion_delete_many                         | 
/personalizacion-de-producto/nuevo/                                 | personalizacion_producto.personalizacion.vw.Create | personalizacion_create                              | 
/producto/                                                          | producto.producto.vw.List                          | producto_list                                       | 
/producto/<int:pk>                                                  | producto.producto.vw.Read                          | producto_read                                       | 
/producto/actualizar/<int:pk>                                       | producto.producto.vw.Update                        | producto_update                                     | 
/producto/eliminar/<int:pk>                                         | producto.producto.vw.Delete                        | producto_delete                                     | 
/producto/eliminar/multiple/                                        | producto.producto.vw.DeleteMany                    | producto_delete_many                                | 
/producto/nuevo/                                                    | producto.producto.vw.Create                        | producto_create                                     | 
/productos                                                          | producto.views.ProductoView                        | idx_app_producto                                    | 
/salir/                                                             | igs_app_base.session.vw.Logout                     | session_logout                                      | 
/sql/                                                               | igs_app_base.sql.vw.SQLView                        | sql_exec_rows                                       | 
/sql/2-json/                                                        | igs_app_base.sql.vw.SQL2JSONView                   | sql_exec_json_out                                   | 
/sql/2json/                                                         | igs_app_base.sql.vw.SQL2JSONView                   | sql_exec_json                                       | 
/static/<path>                                                      | django.views.static.serve                          |                                                     | 
/tipo-de-campo/                                                     | igs_app_base.views.List                            | tipocampo_list                                      | 
/tipo-de-campo/<int:pk>                                             | igs_app_base.views.Read                            | tipocampo_read                                      | 
/tipo-de-campo/actualizar/<int:pk>                                  | igs_app_base.views.Update                          | tipocampo_update                                    | 
/tipo-de-campo/eliminar/<int:pk>                                    | igs_app_base.views.Delete                          | tipocampo_delete                                    | 
/tipo-de-campo/eliminar/multiple/                                   | igs_app_base.views.DeleteMany                      | tipocampo_delete_many                               | 
/tipo-de-campo/nuevo/                                               | igs_app_base.views.Create                          | tipocampo_create                                    | 
/tipo-de-material/                                                  | igs_app_base.views.List                            | tipomaterial_list                                   | 
/tipo-de-material/<int:pk>                                          | catalogo.tipomaterial.vw.Read                      | tipomaterial_read                                   | 
/tipo-de-material/actualizar/<int:pk>                               | igs_app_base.views.Update                          | tipomaterial_update                                 | 
/tipo-de-material/eliminar/<int:pk>                                 | igs_app_base.views.Delete                          | tipomaterial_delete                                 | 
/tipo-de-material/eliminar/multiple/                                | igs_app_base.views.DeleteMany                      | tipomaterial_delete_many                            | 
/tipo-de-material/nuevo/                                            | igs_app_base.views.Create                          | tipomaterial_create                                 | 
/tipo-de-parte/                                                     | igs_app_base.views.List                            | tipoparte_list                                      | 
/tipo-de-parte/<int:pk>                                             | igs_app_base.views.Read                            | tipoparte_read                                      | 
/tipo-de-parte/actualizar/<int:pk>                                  | igs_app_base.views.Update                          | tipoparte_update                                    | 
/tipo-de-parte/eliminar/<int:pk>                                    | igs_app_base.views.Delete                          | tipoparte_delete                                    | 
/tipo-de-parte/eliminar/multiple/                                   | igs_app_base.views.DeleteMany                      | tipoparte_delete_many                               | 
/tipo-de-parte/nuevo/                                               | igs_app_base.views.Create                          | tipoparte_create                                    | 
/tipo-parametro/                                                    | igs_app_base.views.List                            | tipoparametro_list                                  | 
/tipo-parametro/<int:pk>                                            | igs_app_base.views.Read                            | tipoparametro_read                                  | 
/tipo-parametro/actualizar/<int:pk>                                 | igs_app_base.views.Update                          | tipoparametro_update                                | 
/tipo-parametro/eliminar/<int:pk>                                   | igs_app_base.views.Delete                          | tipoparametro_delete                                | 
/tipo-parametro/eliminar/multiple/                                  | igs_app_base.views.DeleteMany                      | tipoparametro_delete_many                           | 
/tipo-parametro/nuevo/                                              | igs_app_base.views.Create                          | tipoparametro_create                                | 
/uploads/<path>                                                     | django.views.static.serve                          |                                                     | 
/usuario/                                                           | igs_app_base.user.vw.List                          | user_list                                           | 
/usuario/<int:pk>                                                   | igs_app_base.user.vw.Read                          | user_read                                           | 
/usuario/actualizar/<int:pk>                                        | igs_app_base.user.vw.Update                        | user_update                                         | 
/usuario/eliminar/<int:pk>                                          | igs_app_base.user.vw.Delete                        | user_delete                                         | 
/usuario/eliminar/multiple/                                         | igs_app_base.user.vw.DeleteMany                    | user_delete_many                                    | 
/usuario/mi-perfil/                                                 | igs_app_base.user.vw.Me                            | user_me                                             | 
/usuario/nuevo/                                                     | igs_app_base.user.vw.Create                        | user_create                                         | 
/usuario/reestablecer-password/                                     | igs_app_base.user.vw.ResetPassword                 | user_reset_password                                 | 
/usuario/reestablecer-password/<str:username>                       | igs_app_base.user.vw.ResetPassword                 | user_reset_password                                 | 
